birth_year_group,duration_group,date_formatted,tripduration,trip_distance,count
1885-1894,0-719 min,06/2019,81629,191.62205604218974,199
1885-1894,0-719 min,06/2020,40929,88.88004693332479,88
1885-1894,0-719 min,07/2019,97033,228.05507751321824,255
1885-1894,0-719 min,07/2020,55474,124.90016624971473,118
1885-1894,0-719 min,08/2019,89203,198.71580226229736,215
1885-1894,0-719 min,08/2020,57845,128.20795275337005,129
1885-1894,720-1439 min,06/2019,87388,198.0931021240347,85
1885-1894,720-1439 min,06/2020,53751,118.51019673597912,54
1885-1894,720-1439 min,07/2019,113018,245.1158022329702,112
1885-1894,720-1439 min,07/2020,61432,131.47582554239418,64
1885-1894,720-1439 min,08/2019,101491,222.48924364149346,103
1885-1894,720-1439 min,08/2020,60286,127.27967384785953,59
1885-1894,1440-2159 min,06/2019,116505,233.1275047822669,62
1885-1894,1440-2159 min,06/2020,125288,151.88586402609909,51
1885-1894,1440-2159 min,07/2019,119579,263.97956895329173,59
1885-1894,1440-2159 min,07/2020,126781,174.3285605642309,48
1885-1894,1440-2159 min,08/2019,108622,250.98276870600395,58
1885-1894,1440-2159 min,08/2020,99732,137.95822134415323,45
1895-1904,0-719 min,06/2019,114253,287.48199033737205,304
1895-1904,0-719 min,06/2020,102028,243.5648814181774,286
1895-1904,0-719 min,07/2019,101642,263.3064832551809,285
1895-1904,0-719 min,07/2020,144423,377.42673709654883,419
1895-1904,0-719 min,08/2019,102454,252.2569467957677,278
1895-1904,0-719 min,08/2020,147455,393.7096099922973,493
1895-1904,720-1439 min,06/2019,106125,288.75135234840656,101
1895-1904,720-1439 min,06/2020,178993,398.2535719020537,161
1895-1904,720-1439 min,07/2019,122159,336.10002300010575,109
1895-1904,720-1439 min,07/2020,169793,384.3617294055585,162
1895-1904,720-1439 min,08/2019,120731,295.69207300139385,112
1895-1904,720-1439 min,08/2020,165218,331.3636958467677,154
1895-1904,1440-2159 min,06/2019,111171,216.2921813771506,62
1895-1904,1440-2159 min,06/2020,398429,464.4309193435639,173
1895-1904,1440-2159 min,07/2019,133449,146.2658362018593,53
1895-1904,1440-2159 min,07/2020,294134,359.4608484379747,139
1895-1904,1440-2159 min,08/2019,176279,303.8201723628128,88
1895-1904,1440-2159 min,08/2020,327035,410.43346766899134,148
1905-1914,0-719 min,06/2019,4331,12.14211117871619,13
1905-1914,0-719 min,06/2020,13818,46.36086542664213,28
1905-1914,0-719 min,07/2019,5072,13.523847904026633,14
1905-1914,0-719 min,07/2020,19954,60.381468681666746,41
1905-1914,0-719 min,08/2019,4451,12.420732602675821,11
1905-1914,0-719 min,08/2020,15652,45.53139892324102,31
1905-1914,720-1439 min,06/2019,22429,66.8614455010602,22
1905-1914,720-1439 min,06/2020,39377,88.48955840535321,37
1905-1914,720-1439 min,07/2019,20655,53.02846192860799,18
1905-1914,720-1439 min,07/2020,20052,50.39821460233225,21
1905-1914,720-1439 min,08/2019,31281,80.97718988390248,25
1905-1914,720-1439 min,08/2020,24861,57.62535062860497,26
1905-1914,1440-2159 min,06/2019,57210,120.4648084096072,31
1905-1914,1440-2159 min,06/2020,73364,97.40943549265356,30
1905-1914,1440-2159 min,07/2019,60034,110.1897012332361,33
1905-1914,1440-2159 min,07/2020,72304,100.21973017495714,31
1905-1914,1440-2159 min,08/2019,42315,87.75358279452583,26
1905-1914,1440-2159 min,08/2020,203273,91.72270251184125,23
1915-1924,0-719 min,06/2019,33911,79.00790236407701,94
1915-1924,0-719 min,06/2020,46859,118.56657634410864,104
