index,station name,station latitude,station longitude
0,1 Ave & E 110 St,40.7923272,-73.9383
1,1 Ave & E 16 St,40.73221853,-73.98165557
2,1 Ave & E 18 St,40.73381219196632,-73.98054420948029
3,1 Ave & E 30 St,40.74144387,-73.97536082
4,1 Ave & E 44 St,40.75001986,-73.96905301
5,1 Ave & E 5 St,40.725864,-73.986389
6,1 Ave & E 62 St,40.7612274,-73.96094022
7,1 Ave & E 68 St,40.76500525,-73.95818491
8,1 Ave & E 78 St,40.77140426,-73.9535166
9,1 Ave & E 94 St,40.7817212,-73.94594
10,1 Pl & Clinton St,40.6809591,-73.99905709
11,10 Ave & W 28 St,40.75066386,-74.00176802
12,10 Hudson Yards,40.752957,-74.00264
13,10 St & 2 Ave,40.671907,-73.993612
14,10 St & 5 Ave,40.6686273,-73.98700053
15,10 St & 7 Ave,40.6662078,-73.98199886
16,11 Ave & W 27 St,40.751396,-74.005226
17,11 Ave & W 41 St,40.76030096,-73.99884222
18,11 Ave & W 59 St,40.77149671054441,-73.99046033620834
19,11 St & 35 Ave,40.7627442,-73.9391141
20,11 St & 43 Ave,40.7519071,-73.9479119
21,12 Ave & W 125 St,40.818299,-73.960405
22,12 Ave & W 40 St,40.76087502,-74.00277668
23,12 St & 4 Ave,40.668603,-73.9904394
24,14 St & 5 Ave,40.666287,-73.98895053
25,14 St & 7 Ave,40.663779,-73.98396846
26,19 St & 24 Ave,40.7774552,-73.9225403
27,2 Ave & 36 St,40.65708866668485,-74.00870203971863
28,2 Ave & 36 St - Citi Bike HQ at Industry City,40.65708866668485,-74.00870203971863
29,2 Ave & E 104 St,40.7892105,-73.94370784
30,2 Ave & E 122 St,40.8006721,-73.9349
31,2 Ave & E 125 St,40.802554,-73.933509
32,2 Ave & E 31 St,40.74290902,-73.97706058
33,2 Ave & E 72 St,40.7687620293096,-73.95840793848038
34,2 Ave & E 96 St,40.7839636,-73.9471673
35,2 Ave & E 99 St,40.7862586,-73.94552579
36,21 St & 31 Dr,40.7659,-73.930819
37,21 St & 36 Ave,40.7601853,-73.9362726
38,21 St & 38 Ave,40.7576314,-73.9391224
39,21 St & 43 Ave,40.75052534,-73.94594845
40,21 St & Hoyt Ave S,40.774645,-73.923706
41,21 St & Queens Plaza North,40.75325964,-73.94335788
42,23 Ave & 27 St,40.776165,-73.9153175
43,24 Ave & 26 St,40.774591,-73.918544
44,24 Ave & 29 St,40.7729,-73.916142
45,24 St & 41 Ave,40.752474,-73.939991
46,24 St & 41 Ave,40.7527085,-73.9397405
47,27 Ave & 3 St,40.77485,-73.9342
48,27 Ave & 4 St,40.7747175,-73.9337894
49,27 Ave & 9 St,40.7739825,-73.9309134
50,27 St & Hunter St,40.7485,-73.941275
51,28 Ave & 35 St,40.7671,-73.9169858
52,28 Ave & 44 St,40.76408932350688,-73.91065120697021
53,28 St & 36 Ave,40.757186,-73.932719
54,28 St & 38 Ave,40.754876,-73.934326
55,28 St & 41 Ave,40.751047,-73.93797
56,3 Ave & 14 St,40.6685455,-73.99333264
57,3 Ave & Carroll St,40.677027,-73.9865
58,3 Ave & E 100 St,40.7877214,-73.94728331
59,3 Ave & E 112 St,40.795508,-73.941606
60,3 Ave & E 62 St,40.76312584,-73.96526895
61,3 Ave & E 71 St,40.76873687,-73.96119945
62,3 Ave & E 72 St,40.7699426,-73.96060712
63,3 Ave & E 95 St,40.78459679884892,-73.94968539476395
64,3 Ave & Schermerhorn St,40.68683208,-73.9796772
65,3 St & 3 Ave,40.6750705,-73.98775226
66,3 St & 7 Ave,40.6703837,-73.97839676
67,3 St & Hoyt St,40.6777287,-73.99364123
68,3 St & Prospect Park West,40.668132,-73.97363831
69,30 Ave & 21 St,40.7703743,-73.9286078
70,31 Ave & 14 St,40.7682,-73.9322662
71,31 Ave & 30 St,40.7647,-73.9240312
72,31 Ave & 34 St,40.763154,-73.920827
73,31 Ave & Crescent St,40.7658346,-73.9265474
74,31 Ave & Steinway St,40.7611488,-73.9170071
75,31 Ave & Steinway St,40.761293897289086,-73.916916847229
76,31 St & 23 Ave,40.7747878,-73.9125551
77,31 St & Astoria Blvd,40.7699176,-73.9184057
78,31 St & Broadway,40.761584,-73.925921
79,31 St & Hoyt Ave N,40.7711528,-73.9170074
80,31 St & Newtown Ave,40.7675487799971,-73.9209334552288
81,31 St & Northern Blvd,40.75186951421875,-73.93349289894103
82,31 St & Thomson Ave,40.74469738,-73.93540375
83,34 Ave & 13 St,40.7638753,-73.9364848
84,34 Ave & 21 St,40.7628138,-73.9342862
85,34 Ave & 38 St,40.756913,-73.921631
86,34 St & 35 Ave,40.7569332,-73.9262231
87,35 Ave & 10 St,40.76315481910373,-73.93985509872437
88,35 Ave & 37 St,40.7557327,-73.9236611
89,35 St & 34 Ave,40.7580583,-73.9242751
90,35 St & Broadway,40.760339,-73.9222427
91,36 Ave & 10 St,40.7614376,-73.9411265
92,36 Ave & 31 St,40.75651272984955,-73.92957486212252
93,37 Ave & 35 St,40.7531106,-73.9279917
94,37 St & 24 Ave,40.7701477,-73.9120938
95,38 Ave & 29 St,40.75473,-73.93367
96,39 St & 2 Ave,40.65539977447831,-74.01062786579132
97,39 St & 2 Ave - Citi Bike HQ at Industry City,40.65539977447831,-74.01062786579132
98,4 Ave & 9 St,40.6705135,-73.98876585
99,4 Ave & E 12 St,40.732647,-73.99011
100,40 Ave & 9 St,40.75742,-73.945133
101,40 Ave & Crescent St,40.7535992020056,-73.93795609474182
102,43 St & Broadway,40.7577284,-73.9166368
103,44 Dr & 21 St,40.748,-73.9460927
104,44 Dr & Jackson Ave,40.74718234,-73.9432635
105,45 Rd & 11 St,40.74708586,-73.94977234
106,46 Ave & 5 St,40.74731,-73.95451
107,47 Ave & 31 St,40.743,-73.93561
108,47 Ave & Skillman Ave,40.7437524099784,-73.94176483154297
109,48 Ave & 30 Pl,40.74128309355993,-73.93725872039794
110,48 Ave & 5 St,40.74436328706688,-73.9558732509613
111,49 Ave & 21 St,40.74252,-73.948852
112,5 Av & W 139 St,40.815484,-73.935856
113,5 Ave & 3 St,40.6728155,-73.98352355
114,5 Ave & E 103 St,40.7922553,-73.95249933
115,5 Ave & E 126 St,40.80698,-73.941747
116,5 Ave & E 135 St,40.812191,-73.937838
117,5 Ave & E 29 St,40.7451677,-73.98683077
118,5 Ave & E 63 St,40.766368,-73.971518
119,5 Ave & E 73 St,40.77282817,-73.96685276
120,5 Ave & E 78 St,40.77632142182271,-73.96427392959595
121,5 Ave & E 88 St,40.78307,-73.95939
122,5 Ave & E 93 St,40.7857851,-73.957481
123,5 Ave & W 131 St,40.81014,-73.93973
124,5 St & 51 Ave,40.7423737,-73.9566
125,5 St & 6 Ave,40.6704836,-73.98208968
126,5 St & Market St,40.6999974843885,-73.97440128028393
127,6 Ave & 12 St,40.6663181,-73.9854617
128,6 Ave & 9 St,40.668127,-73.98377641
129,6 Ave & Broome St,40.724308321602166,-74.00473035871983
130,6 Ave & Canal St,40.72243797,-74.00566443
131,6 Ave & W 33 St,40.74901271,-73.98848395
132,6 Ave & W 34 St,40.74964,-73.98805
133,6 St & 7 Ave,40.6686627,-73.97988067
134,7 Ave & Central Park South,40.7667405590595,-73.9790689945221
135,7 Ave & Park Pl,40.6776147,-73.97324283
136,7 St & 3 Ave,40.67260298150126,-73.98983001708984
137,7 St & 5 Ave,40.6704922,-73.98541675
138,8 Ave & W 31 St,40.7505853470215,-73.9946848154068
139,8 Ave & W 33 St,40.751551,-73.993934
140,8 Ave & W 38 St,40.75461,-73.99177
141,8 Ave & W 52 St,40.76370739,-73.9851615
142,9 Ave & W 18 St,40.74317449,-74.00366443
143,9 Ave & W 22 St,40.7454973,-74.00197139
144,9 Ave & W 28 St,40.74937024193277,-73.99923384189606
145,9 Ave & W 45 St,40.76019252,-73.9912551
146,9 St & 44 Rd,40.74966,-73.9521
147,Adam Clayton Powell Blvd & W 115 St,40.802535,-73.9532423
148,Adam Clayton Powell Blvd & W 118 St,40.804372,-73.951475
149,Adam Clayton Powell Blvd & W 123 St,40.8078316,-73.949373
150,Adam Clayton Powell Blvd & W 126 St,40.80949534777948,-73.94776493310928
151,Adam Clayton Powell Blvd & W 130 St,40.812346,-73.946168
152,Adam Clayton Powell Blvd & W 132 St,40.813539,-73.94521
153,Adam Clayton Powell Blvd & W 138 St,40.81695971032464,-73.9422959089279
154,Adam Clayton Powell Blvd & W 141 St,40.819241,-73.941057
155,Adam Clayton Powell Blvd & W 151 St,40.825289,-73.936232
156,Adelphi St & Myrtle Ave,40.69308257,-73.97178913
157,Albany Ave & Fulton St,40.6800105,-73.938475
158,Alexander Ave & E 134 St,40.807466,-73.927107
159,Allen St & Hester St,40.71605866,-73.99190759
160,Allen St & Rivington St,40.72019576,-73.98997825
161,Allen St & Stanton St,40.722055,-73.989111
162,Amsterdam Ave & W 119 St,40.8086249,-73.9596214
163,Amsterdam Ave & W 125 St,40.813358,-73.956461
164,Amsterdam Ave & W 131 St,40.816355,-73.954295
165,Amsterdam Ave & W 136 St,40.819746,-73.951819
166,Amsterdam Ave & W 152 St,40.829523,-73.944279
167,Amsterdam Ave & W 156 St,40.832081,-73.942386
168,Amsterdam Ave & W 162 St,40.83618,-73.939789
169,Amsterdam Ave & W 167 St,40.839443,-73.937044
170,Amsterdam Ave & W 172 St,40.842173,-73.935111
171,Amsterdam Ave & W 175 St,40.844044,-73.933651
172,Amsterdam Ave & W 180 St,40.847396,-73.931205
173,Amsterdam Ave & W 183 St,40.84925,-73.93022
174,Amsterdam Ave & W 66 St,40.7746671,-73.98470567
175,Amsterdam Ave & W 73 St,40.77966809007312,-73.98093044757842
176,Amsterdam Ave & W 79 St,40.7829391,-73.9786517
177,Amsterdam Ave & W 82 St,40.78524672,-73.97667321
178,Astoria Park S & Shore Blvd,40.7767,-73.927631
179,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328
180,Atlantic Ave & Furman St,40.69165183,-73.9999786
181,Audobon Ave & W 179 St,40.847305,-73.933291
182,Avenue C & E 18 St,40.730563,-73.973984
183,Avenue D & E 10 St,40.72506551015475,-73.97515833377838
184,Avenue D & E 12 St,40.72580614,-73.97422494
185,Avenue D & E 3 St,40.72082834,-73.97793172
186,Avenue D & E 8 St,40.72368361,-73.97574813
187,Avenue D & E 8 St,40.72387,-73.975767
188,Baltic St & 5 Ave,40.6795766,-73.97854971
189,Bank St & Hudson St,40.73652889,-74.00618026
190,Bank St & Washington St,40.7361967,-74.00859207
191,Banker St & Meserole Ave,40.72606,-73.95621
192,Barclay St & Church St,40.71291224,-74.01020234
193,Barrow St & Hudson St,40.73172428,-74.00674436
194,Bayard St & Baxter St,40.71602118,-73.99974372
195,Bayard St & Leonard St,40.71915571696044,-73.94885390996933
196,Beaver St & Fayette St,40.70099,-73.93921
197,Bedford Ave & Bergen St,40.676368,-73.952918
198,Bedford Ave & Montgomery St,40.665816,-73.956934
199,Bedford Ave & Nassau Ave,40.72311651,-73.95212324
200,Bedford Ave & S 9 St,40.70853074,-73.96408963
201,Bergen Ave & E 152 St,40.817166,-73.914737
202,Bergen St & Flatbush Ave,40.680944723477296,-73.97567331790923
203,Bergen St & Smith St,40.6867443,-73.99063168
204,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438
205,Berkeley Pl & 6 Ave,40.6765304,-73.97846879
206,Berkeley Pl & 7 Ave,40.675146838709786,-73.97523209452629
207,Berry St & N 8 St,40.7190095,-73.95852515
208,Bialystoker Pl & Delancey St,40.71622644,-73.98261206
209,Boerum St & Broadway,40.70538077,-73.94976519
210,Bond St & Bergen St,40.6849668,-73.98620772
211,Bond St & Fulton St,40.68962188790333,-73.98304268717766
212,Bradhurst Ave & W 148 St,40.825125,-73.941616
213,Broad St & Bridge St,40.70365182,-74.01167797
214,Broadway & 12 St,40.7668,-73.9347774
215,Broadway & Battery Pl,40.70463334,-74.01361706
216,Broadway & Berry St,40.71044554,-73.96525063
217,Broadway & E 14 St,40.73454567,-73.99074142
218,Broadway & E 22 St,40.7403432,-73.98955109
219,Broadway & Furman Ave,40.68139,-73.90756
220,Broadway & Hancock St,40.68663,-73.9168
221,Broadway & Kosciuszko St,40.69329,-73.92852
222,Broadway & Madison St,40.68822,-73.91966
223,Broadway & Moylan Pl,40.8143256,-73.9590255
224,Broadway & Roebling St,40.70924826276157,-73.96063148975372
225,Broadway & W 122 St,40.8120562,-73.9612547
226,Broadway & W 131 St,40.817555,-73.957163
227,Broadway & W 133 St,40.8190344,-73.956156
228,Broadway & W 153 St,40.831327,-73.946665
229,Broadway & W 160 St,40.835775,-73.9434
230,Broadway & W 165 St,40.839137,-73.941409
231,Broadway & W 25 St,40.74286877312112,-73.98918628692627
232,Broadway & W 29 St,40.7462009,-73.98855723
233,Broadway & W 36 St,40.75097711,-73.98765428
234,Broadway & W 37 St,40.75172632,-73.98753523
235,Broadway & W 38 St,40.75299641,-73.98721619
236,Broadway & W 41 St,40.75513557,-73.98658032
237,Broadway & W 49 St,40.76068327096592,-73.9845272898674
238,Broadway & W 51 St,40.76228826,-73.98336183
239,Broadway & W 53 St,40.76344058,-73.98268129
240,Broadway & W 56 St,40.7652654,-73.98192338
241,Broadway & W 60 St,40.76915505,-73.98191841
242,Broadway & Whipple St,40.7016657,-73.9437303
243,Brook Ave & E 138 St,40.807408,-73.91924
244,Brook Ave & E 141 St,40.809619,-73.917875
245,Brook Ave & E 148 St,40.814383,-73.915368
246,Brook Ave & E 157 St,40.820713,-73.911759
247,Brooklyn Bridge Park - Pier 2,40.698458,-73.997178
248,Bus Slip & State St,40.701907,-74.013942
249,Bushwick Ave & Dekalb Ave,40.69502,-73.92825
250,Bushwick Ave & Forrest St,40.70076,-73.93641
251,Bushwick Ave & Furman Ave,40.68281,-73.90623
252,Bushwick Ave & Harman St,40.69356,-73.92524
253,Bushwick Ave & Linden St,40.69146,-73.92146
254,Bushwick Ave & McKibbin St,40.705517,-73.93936
255,Bushwick Ave & Powers St,40.71247661,-73.94100005
256,Bushwick Ave & Stagg St,40.709897,-73.94008
257,Butler St & Court St,40.6849894,-73.99440329
258,Cabrini Blvd & W 177 St,40.848282,-73.941343
259,Cadman Plaza E & Johnson St,40.69531727766904,-73.99015724658966
260,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773
261,Cadman Plaza West & Montague St,40.69383,-73.990539
262,Calyer St & Jewel St,40.72984,-73.94839
263,Cambridge Pl & Gates Ave,40.68488,-73.96304
264,Canal St & Rutgers St,40.71427487,-73.98990025
265,Carlton Ave & Dean St,40.6809741,-73.9710097
266,Carlton Ave & Flushing Ave,40.697787,-73.973736
267,Carlton Ave & Park Ave,40.69580705,-73.97355569
268,Carmine St & 6 Ave,40.73038599,-74.00214988
269,Carroll St & 5 Ave,40.6751622,-73.9814832
270,Carroll St & 6 Ave,40.6740886,-73.9787282
271,Carroll St & Bond St,40.6786115,-73.99037292
272,Carroll St & Columbia St,40.6830456,-74.00348559
273,Carroll St & Franklin Ave,40.6679411,-73.9588
274,Carroll St & Smith St,40.680611,-73.99475825
275,Carroll St & Washington Ave,40.6686744,-73.9618148
276,Cathedral Pkwy & Broadway,40.804213,-73.96699104
277,Catherine St & Monroe St,40.71117444,-73.99682619
278,Cauldwell Ave & E 158 St,40.81989,-73.908351
279,Cauldwell Ave & E 161 St,40.82188,-73.907521
280,Cedar St & Evergreen Ave,40.69671,-73.92807
281,Cedar St & Myrtle Ave,40.697842,-73.926241
282,Center Blvd & 48 Ave,40.745038,-73.957539
283,Center Blvd & 51 Ave,40.74336608027021,-73.95960688591003
284,Central Ave & Covert St,40.68929,-73.90951
285,Central Ave & Decatur St,40.6882,-73.90798
286,Central Ave & Flushing Ave,40.702831,-73.9333
287,Central Ave & Himrod St,40.69676,-73.92302
288,Central Ave & Melrose St,40.70112,-73.93039
289,Central Ave & Starr Street,40.700003,-73.92834
290,Central Ave & Weirfield St,40.69055,-73.91181
291,Central Ave & Woodbine St,40.69296,-73.91605
292,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613
293,Central Park S & 6 Ave,40.76590936,-73.97634151
294,Central Park W & W 103 St,40.79603684159984,-73.96158903853575
295,Central Park W & W 91 St,40.78866499127884,-73.96680057048798
296,Central Park W & W 96 St,40.79127,-73.964839
297,Central Park W & W 97 St,40.79249519495111,-73.96417066463071
298,Central Park West & W 100 St,40.79406660818552,-73.96286845207214
299,Central Park West & W 102 St,40.795346,-73.96186
300,Central Park West & W 68 St,40.7734066,-73.97782542
301,Central Park West & W 72 St,40.77579376683666,-73.9762057363987
302,Central Park West & W 76 St,40.77896784,-73.97374737
303,Central Park West & W 82 St,40.782593,-73.971211
304,Central Park West & W 85 St,40.78472675,-73.96961715
305,Central Park West & W 85 St,40.78476,-73.969862
306,Central Park West & W 85 St (old),40.78472675,-73.96961715
307,Centre St & Chambers St,40.71273266,-74.0046073
308,Centre St & Seneca Ave,40.69969,-73.9022
309,Centre St & Worth St,40.71494807,-74.00234482
310,Cherry St,40.71219906,-73.97948148
311,Christopher St & Greenwich St,40.73291553,-74.00711384
312,Clark St & Henry St,40.69760127,-73.99344559
313,Classon Ave & St Marks Ave,40.6765198,-73.9596082
314,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902
315,Clermont Ave & Park Ave,40.69573398,-73.97129668
316,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504
317,Cliff St & Fulton St,40.70838,-74.00495
318,Clinton Ave & Flushing Ave,40.69794,-73.96986848
319,Clinton Ave & Myrtle Ave,40.693261,-73.968896
320,Clinton St & 4 Place,40.6783563,-74.00014502
321,Clinton St & Centre St,40.67434,-74.00194698
322,Clinton St & Grand St,40.71559509,-73.9870295
323,Clinton St & Joralemon St,40.69239502,-73.99337909
324,Clinton St & Union St,40.6831164,-73.99785267
325,Coffey St & Conover St,40.677236,-74.015665
326,Columbia Heights & Cranberry St,40.70037867,-73.99548059
327,Columbia St & Degraw St,40.6859296,-74.00242364
328,Columbia St & Kane St,40.68763155,-74.0016256
329,Columbia St & Lorraine St,40.6747055,-74.0075572
330,Columbia St & Rivington St,40.71739973,-73.98016555
331,Columbia St & W 9 St,40.6769993,-74.00647134
332,Columbus Ave & W 103 St,40.7969347,-73.9643412291
333,Columbus Ave & W 72 St,40.7770575,-73.97898475
334,Columbus Ave & W 95 St,40.7919557,-73.968087
335,Commerce St & Van Brunt St,40.6812117,-74.00860912
336,Concord St & Bridge St,40.69766564,-73.98476437
337,Congress St & Clinton St,40.6881529,-73.99520919
338,Convent Ave & W 135 St,40.818215,-73.950988
339,Convent Ave & W 151 St,40.82831,-73.942924
340,Cooper Square & Astor Pl,40.72951496224949,-73.99075269699097
341,Court St & Nelson St,40.6763947,-73.99869893
342,Court St & State St,40.6902375,-73.99203074
343,Courtlandt Ave & E 149 St,40.816402,-73.919549
